age,educ,gender,religion,income,immig,loginc
48,27,Female,catholic,20000,2,9.9034872
28,12,Male,Islamic,2600,5.3333335,7.8632669
29,13,Male,No religion,2000,5,7.6009026
43,12,Male,No religion,1600,5.3333335,7.377759
46,15,Male,No religion,1900,2.6666667,7.5496092
49,9,Female,No religion,1000,5,6.9077554
53,10,Female,No religion,1200,4,7.0900769
60,15,Female,catholic,2500,6.3333335,7.8240461
21,13,Male,No religion,1950,5.3333335,7.5755849
30,20,Female,catholic,2300,5,7.7406645
56,16,Female,catholic,2000,6.3333335,7.6009026
23,12,Female,No religion,1670,5.3333335,7.420579
30,18,Female,catholic,2300,4.3333335,7.7406645
26,12,Female,No religion,2900,4.6666665,7.972466
34,13,Male,No religion,2500,4,7.8240461
41,20,Male,No religion,3370,5.3333335,8.1226683
54,12,Female,No religion,1400,5.3333335,7.2442274
59,11,Male,No religion,2800,1.3333334,7.9373746
23,18,Female,catholic,1200,5,7.0900769
31,17,Female,catholic,4200,5.6666665,8.3428402
34,18,Female,No religion,2091,6,7.6453977
24,17,Female,catholic,1300,5.3333335,7.1701198
57,10,Female,No religion,1150,1.6666666,7.0475173
21,14,Male,catholic,1800,.66666669,7.495542
40,15,Male,No religion,3900,4.3333335,8.2687321
43,15,Male,No religion,5600,6.3333335,8.6305218
49,14,Male,catholic,55000,5.6666665,10.915089
46,15,Male,No religion,5200,6.3333335,8.5564137
52,12,Male,No religion,2696,5,7.8995247
26,17,Female,No religion,2700,3,7.9010072
31,15,Female,No religion,2500,4.6666665,7.8240461
55,12,Male,No religion,5500,7,8.6125031
46,17,Male,No religion,5000,8,8.5171928
41,14,Male,No religion,2193,5.3333335,7.6930256
58,16,Female,No religion,500,5.6666665,6.2146082
36,16,Female,No religion,1800,7,7.495542
50,14,Male,catholic,3480,5.3333335,8.154788
44,17,Female,catholic,1900,5.6666665,7.5496092
37,10,Male,No religion,3000,3.6666667,8.0063677
29,14,Female,No religion,1200,5.3333335,7.0900769
32,15,Male,No religion,5000,5.3333335,8.5171928
43,12,Male,catholic,2800,2.6666667,7.9373746
52,12,Male,No religion,2500,4.3333335,7.8240461
41,18,Female,Orthodox & other christians,5300,6.3333335,8.5754623
56,14,Female,No religion,2800,4.3333335,7.9373746
41,18,Male,No religion,2800,1,7.9373746
59,14,Male,No religion,5000,4.3333335,8.5171928
40,15,Male,No religion,2000,5.3333335,7.6009026
66,8,Male,catholic,1700,4.6666665,7.4383836
30,12,Female,catholic,1200,2.6666667,7.0900769
33,12,Female,catholic,1079,5,6.9837899
38,15,Female,catholic,2652,3.3333333,7.8830695
53,14,Female,No religion,3000,5,8.0063677
56,15,Female,catholic,4200,5.3333335,8.3428402
36,16,Male,No religion,3950,5.3333335,8.2814713
33,16,Female,No religion,3200,5.6666665,8.0709057
28,17,Male,No religion,1800,6,7.495542
53,14,Male,catholic,58000,6.6666665,10.968198
46,14,Female,catholic,1200,4.3333335,7.0900769
22,14,Female,No religion,250,5,5.521461
38,16,Female,catholic,3000,4.3333335,8.0063677
44,20,Male,No religion,1800,5.6666665,7.495542
34,14,Male,No religion,2100,4.6666665,7.6496925
24,13,Male,No religion,1900,3.6666667,7.5496092
55,15,Female,No religion,2000,8,7.6009026
36,12,Male,catholic,1900,5.3333335,7.5496092
45,12,Male,No religion,2750,4.3333335,7.9193563
32,18,Female,catholic,3000,6.3333335,8.0063677
53,14,Female,No religion,3000,7,8.0063677
41,16,Male,No religion,3300,3.6666667,8.1016779
46,11,Female,catholic,1800,5.3333335,7.495542
32,14,Male,catholic,1700,3.6666667,7.4383836
39,22,Male,No religion,2386,7.6666665,7.7773738
23,16,Male,No religion,2000,7,7.6009026
40,20,Male,catholic,5400,7,8.5941544
45,13,Male,catholic,2445,7.3333335,7.8018003
58,27,Female,No religion,22000,3.3333333,9.9987974
31,12,Male,catholic,2600,4.6666665,7.8632669
46,15,Male,No religion,6000,5,8.6995144
55,12,Male,catholic,3500,7,8.1605186
29,16,Male,No religion,2000,3.6666667,7.6009026
36,10,Male,No religion,7400,6.6666665,8.909235
49,14,Male,catholic,4000,4.3333335,8.2940493
